Date,OrderID,CustomerID,CustomerName,Region,Country,SalesPerson,Product,Category,Quantity,UnitPrice,Discount,Sales,Profit
2024-01-15,1001,CUST001,Acme Corp,North America,USA,Alice Johnson,Widget A,Hardware,10,25.00,0.00,250.00,50.00
2024-01-18,1002,CUST002,Globex Inc,Europe,UK,Bob Smith,Widget B,Hardware,5,40.00,0.10,180.00,36.00
2024-02-02,1003,CUST003,Initech,North America,USA,Alice Johnson,Gadget X,Software,2,300.00,0.05,570.00,171.00
2024-02-10,1004,CUST004,Stark Industries,APAC,India,Chen Wei,Widget A,Hardware,20,25.00,0.15,425.00,85.00
2024-02-14,1005,CUST005,Hooli,LATAM,Brazil,Carlos Ruiz,Gadget Y,Hardware,3,120.00,0.00,360.00,72.00
2024-03-01,1006,CUST006,Wayne Enterprises,Europe,Germany,Bob Smith,Service Pack,Services,1,1500.00,0.10,1350.00,270.00
2024-03-05,1007,CUST007,Wonka Industries,APAC,Japan,Chen Wei,Widget C,Hardware,7,55.00,0.05,366.75,73.35
2024-03-12,1008,CUST008,Vehement Capital,North America,Canada,Alice Johnson,Gadget X,Software,1,300.00,0.00,300.00,90.00
2024-03-20,1009,CUST009,Starlight Co,LATAM,Mexico,Carlos Ruiz,Widget B,Hardware,12,40.00,0.10,432.00,86.40
2024-04-02,1010,CUST010,Pied Piper,Europe,France,Bob Smith,Service Pack,Services,2,1500.00,0.00,3000.00,600.00
2024-04-10,1011,CUST011,Globex Inc,Europe,UK,Bob Smith,Widget A,Hardware,4,25.00,0.00,100.00,20.00
2024-04-18,1012,CUST012,Acme Corp,North America,USA,Alice Johnson,Gadget Y,Hardware,6,120.00,0.05,684.00,136.80
2024-04-25,1013,CUST013,Initech,North America,USA,Alice Johnson,Widget C,Hardware,9,55.00,0.00,495.00,99.00
2024-05-03,1014,CUST014,Hooli,LATAM,Brazil,Carlos Ruiz,Gadget X,Software,3,300.00,0.10,810.00,162.00
2024-05-15,1015,CUST015,Wayne Enterprises,Europe,Germany,Bob Smith,Widget B,Hardware,15,40.00,0.20,480.00,96.00
2024-05-22,1016,CUST016,Wonka Industries,APAC,Japan,Chen Wei,Service Pack,Services,1,2000.00,0.00,2000.00,400.00
2024-06-01,1017,CUST017,Pied Piper,Europe,France,Bob Smith,Gadget Y,Hardware,8,120.00,0.05,912.00,182.40
2024-06-10,1018,CUST018,Acme Corp,North America,USA,Alice Johnson,Widget A,Hardware,11,25.00,0.00,275.00,55.00
2024-06-18,1019,CUST019,Vehement Capital,North America,Canada,Alice Johnson,Widget B,Hardware,2,40.00,0.00,80.00,16.00
2024-07-04,1020,CUST020,Stark Industries,APAC,India,Chen Wei,Gadget X,Software,4,300.00,0.00,1200.00,360.00
2024-07-12,1021,CUST021,Globex Inc,Europe,UK,Bob Smith,Widget C,Hardware,5,55.00,0.10,247.50,49.50
2024-07-20,1022,CUST022,Initech,North America,USA,Alice Johnson,Service Pack,Services,1,1500.00,0.00,1500.00,300.00
2024-08-01,1023,CUST023,Hooli,LATAM,Brazil,Carlos Ruiz,Widget A,Hardware,14,25.00,0.05,332.50,66.50
2024-08-09,1024,CUST024,Wayne Enterprises,Europe,Germany,Bob Smith,Gadget Y,Hardware,3,120.00,0.00,360.00,72.00
2024-08-18,1025,CUST025,Wonka Industries,APAC,Japan,Chen Wei,Widget B,Hardware,10,40.00,0.10,360.00,72.00
2024-09-05,1026,CUST026,Pied Piper,Europe,France,Bob Smith,Gadget X,Software,2,300.00,0.00,600.00,180.00
2024-09-15,1027,CUST027,Acme Corp,North America,USA,Alice Johnson,Widget C,Hardware,6,55.00,0.05,313.50,62.70
2024-09-22,1028,CUST028,Vehement Capital,North America,Canada,Alice Johnson,Service Pack,Services,1,1800.00,0.10,1620.00,324.00
2024-10-03,1029,CUST029,Starlight Co,LATAM,Mexico,Carlos Ruiz,Widget A,Hardware,7,25.00,0.00,175.00,35.00
2024-10-18,1030,CUST030,Globex Inc,Europe,UK,Bob Smith,Gadget Y,Hardware,4,120.00,0.15,408.00,81.60
